"number","species","date","name"
313,"Stillahavslom",2023-11-11,"Ölands norra udde"
312,"Rostsångare",2023-10-28,"Ölands norra udde"
311,"Beigekindad skogstrast",2023-10-10,"Ölands norra udde"
310,"Sibirisk lundsångare",2023-09-19,"Ölands norra udde"
309,"Brednäbbad simsnäppa",2022-11-07,"Ölands norra udde"
308,"Videsångare",2022-10-01,"Ölands norra udde"
307,"Brun törnskata",2021-10-30,"Ölands norra udde"
306,"Blek tornseglare",2020-10-28,"Ölands norra udde"
305,"Styltlöpare",2020-05-22,"Ölands norra udde"
304,"Ormörn",2020-05-15,"Ölands norra udde"
303,"Småtrapp",2020-05-05,"Ölands norra udde"
302,"Vitgumpad buskskvätta",2020-05-01,"Ölands norra udde"
301,"Amerikansk sjöorre",2020-04-10,"Ölands norra udde"
300,"Gråhuvad sparv",2019-11-08,"Ölands norra udde"
299,"Östlig kronsångare",2019-10-24,"Ölands norra udde"
298,"Brunsångare",2019-10-20,"Ölands norra udde"
297,"Rödfalk",2019-05-21,"Ölands norra udde"
296,"Tundratrut",2019-05-17,"Ölands norra udde"
295,"Spetsbergsgrissla",2019-05-17,"Ölands norra udde"
294,"Stäppörn",2019-02-16,"Ölands norra udde"
293,"Skedstork",2018-05-20,"Ölands norra udde"
292,"Medelhavstrut",2018-05-11,"Ölands norra udde"
291,"Nunnestenskvätta",2017-11-07,"Ölands norra udde"
290,"Sibirisk järnsparv",2016-10-27,"Ölands norra udde"
289,"Hökuggla",2016-10-09,"Ölands norra udde"
288,"Dvärgörn",2016-05-22,"Ölands norra udde"
287,"Bronsibis",2016-05-20,"Ölands norra udde"
286,"Mandarinand",2016-04-22,"Ölands norra udde"
285,"Tajgablåstjärt",2016-04-03,"Ölands norra udde"
284,"Rosenstare",2015-10-10,"Ölands norra udde"
283,"Eleonorafalk",2015-08-25,"Ölands norra udde"
282,"Rostgumpsvala",2015-05-12,"Ölands norra udde"
281,"Svartpannad törnskata",2014-09-25,"Ölands norra udde"
